ID;CodigoPrograma;GradoMinimo;GradoMaximo;Estado;NoAnual;Dias;Transporte;TipoPago;Precio;Seguro;SeguroCancelado;PorcentajeSeguro;PagoCancelado;Chaperones;LineaPobreza;Region;SegmentoCRM;TipoEscuela;ReunionPadres;MenorGradoEscuela;MayorGrado Escuela;TotalAlumnosEscuela;NivelIngresos;PagoFacil;ApoyoOficial;TipoPrograma;NuevoExistente;ParticipantesPago;TotalIngreso;Reuniones;DiasPrimeraReunion;DiasUltimaReunion;TipoGradoMinimo;TipoGradoMaximo;MesPartida;CodigoAgregacionPrograma;MismoGrado;ParticipantesEstudiantado;RatioPago;Tamano;Retenidos2020
1;HS;4;4;CA;0;1;A;NA;424;25;3;0.424;3;4;B;Southern California;4;PUBLIC;1;K;5;927;Q;0.17;1;CA History;EXISTING;59;424;1;155;155;Elementary;Elementary;January;H;1;0.06364617;0.936507937;L;1
2;HC;8;8;AZ;0;7;A;CP;2350;9;9;0.409;11;3;C;Other;10;PUBLIC;1;7;8;850;A;0.091;0;East Coast;EXISTING;22;2350;2;423;140;Middle;Middle;January;H;1;0.025882353;0.88;L;1
3;HD;8;8;FL;0;3;A;NA;1181;17;6;0.708;6;3;C;Other;10;PUBLIC;1;6;8;955;O;0.042;0;East Coast;EXISTING;24;1181;1;124;124;Middle;Middle;January;H;1;0.02513089;0.888888889;L;1
4;HN;9;12;VA;1;3;B;NA;376;0;0;0;1;0;;Other;7;CHD;0;;NA;;;0;0;East Coast;EXISTING;18;376;0;NA;NA;High;High;January;H;0;NA;1;;0
5;HD;6;8;FL;0;6;T;NA;865;40;8;0.494;9;8;D;Other;10;PUBLIC;1;6;8;720;C;0.383;0;East Coast;EXISTING;81;865;1;145;145;Middle;Middle;January;H;0;0.1125;0.91011236;M-L;0
6;HC;10;12;LA;0;4;A;NA;2025;9;4;0.9;3;1;C;Other;8;PUBLIC;1;10;12;939;I;0.1;0;East Coast;NEW;10;2025;1;91;91;High;High;January;H;0;0.010649627;0.909090909;L;1
7;SG;11;12;MA;1;6;A;NA;1977;16;4;0.64;5;2;;Other;8;Catholic;1;9;12;225;G;0.08;0;Science;EXISTING;25;1977;1;63;63;High;High;January;S;0;0.111111111;0.925925926;S;0
8;FN;9;9;MX;0;8;A;NA;3379;10;0;0.769;1;1;;Other;7;CHD;1;;NA;;;0;0;East Coast;EXISTING;13;3379;1;138;138;High;High;January;I;1;NA;0.928571429;;0
9;CC;8;8;AZ;0;8;A;CP;2200;30;0;0.577;0;4;;Other;5;CHD;1;6;12;500;K;0.231;0;East Coast;EXISTING;52;2200;1;143;143;Middle;Middle;January;C;1;0.104;0.928571429;S-M;1
10;HD;8;8;TX;0;4;A;NA;1428;51;1;0.773;1;6;;Houston;5;Private non-Christian;1;PK;8;635;K;0.136;0;East Coast;EXISTING;66;1428;1;146;146;Middle;Middle;February;H;1;0.103937008;0.916666667;M-L;1
11;CD;8;8;FL;0;4;A;NA;999;47;1;0.566;1;4;;Other;10;CHD;1;K;12;746;O;0.096;1;East Coast;EXISTING;83;999;1;151;151;Middle;Middle;February;C;1;0.111260054;0.954022989;M-L;1
12;HD;8;8;FL;0;4;A;NA;1388;32;0;0.8;0;5;;Other;10;CHD;1;PK;8;650;L;0.3;1;East Coast;EXISTING;40;1388;1;146;146;Middle;Middle;February;H;1;0.061538462;0.888888889;M-L;1
13;HD;8;8;CA;0;6;A;NA;2278;10;6;0.455;6;1;A;Northern California;5;PUBLIC;1;6;8;670;Q;0.136;0;East Coast;EXISTING;22;2278;1;150;150;Middle;Middle;February;H;1;0.032835821;0.956521739;M-L;1
14;HD;8;8;CA;0;6;A;NA;2339;20;1;0.625;2;4;B;Northern California;5;PUBLIC;1;6;8;750;L;0.125;0;East Coast;EXISTING;32;2339;1;164;164;Middle;Middle;February;H;1;0.042666667;0.888888889;M-L;1
15;HD;5;5;CA;0;6;A;NA;2235;21;1;0.636;2;4;;Northern California;7;PUBLIC;1;;NA;;P5;0.091;0;East Coast;EXISTING;33;2235;1;157;157;Elementary;Elementary;February;H;1;NA;0.891891892;;1
16;SG;8;8;VA;0;5;A;NA;1830;22;1;0.733;4;3;B;Other;6;PUBLIC;1;6;8;753;I;0.167;0;Science;EXISTING;30;1830;2;293;158;Middle;Middle;February;S;1;0.039840637;0.909090909;M-L;1
17;SG;8;8;VA;0;5;A;NA;1805;16;4;0.552;5;2;B;Other;6;PUBLIC;1;6;8;626;N;0.345;0;Science;EXISTING;29;1805;2;297;169;Middle;Middle;February;S;1;0.046325879;0.935483871;M-L;1
18;SG;8;8;VA;0;5;A;NA;1880;5;1;0.556;1;1;B;Other;7;PUBLIC;1;6;8;467;H;0.444;0;Science;EXISTING;9;1880;2;287;154;Middle;Middle;February;S;1;0.019271949;0.9;S-M;1
19;HD;8;8;IA;0;3;A;NA;1393;25;2;0.658;3;3;B;Other;10;PUBLIC;1;6;8;360;K;0.395;0;East Coast;EXISTING;38;1393;1;167;167;Middle;Middle;February;H;1;0.105555556;0.926829268;S-M;1
