ID;PSC 2020;PSC 2019;PSC 2018;PSC 2017
1;10;10;10;10
2;9;10;10;
3;;10;10;
4;10;;10;
5;10;;10;
6;10;;;
7;;;9;
8;10;9;;
9;9;10;9;
10;9;;8;
11;;10;10;
12;8;8;;8
13;10;10;;
14;10;10;9;10
15;;6;;10
16;10;10;;
17;10;10;9;10
18;;10;;
19;10;10;10;10
20;10;;;
21;;;;
22;9;10;10;9
23;8;;;
24;10;10;10;9
25;;;;10
26;9;9;9;10
27;10;10;10;10
28;10;10;10;10
29;9;9;;
30;10;9;9;9
31;10;10;9;10
32;10;10;10;10
33;10;;9;10
34;10;;9;10
35;9;10;10;10
36;10;10;10;8
37;10;10;10;10
38;10;;;
39;10;10;;8
40;9;8;;8
41;9;9;6;9
42;10;10;10;10
43;;9;;
44;10;9;10;10
45;10;10;10;9
46;8;9;8;7
47;10;;;
48;10;10;;10
49;10;;;
50;;7;10;7
51;10;10;9;9
52;10;10;10;10
53;9;8;;
54;10;10;10;10
55;9;;;
56;10;;;
57;;;10;
58;9;10;10;
59;10;10;10;10
60;10;10;9;
61;;;9;
62;10;10;10;10
63;10;;;
64;10;;10;
65;10;9;10;10
66;10;;;
67;2;9;10;9
68;9;8;8;10
69;10;8;8;9
70;10;10;;
71;10;;;9
72;9;10;7;8
73;10;10;6;10
74;7;;;
75;10;10;10;10
76;10;;;
77;10;10;10;9
78;10;9;;10
79;10;9;10;10
80;10;9;10;9
81;10;10;10;
82;10;;10;10
83;10;10;10;10
84;9;8;10;
85;10;10;10;9
86;8;;;
87;9;9;;10
88;10;8;10;
89;;;;
90;10;6;9;10
91;10;6;9;10
92;10;10;;10
93;10;6;9;10
94;10;;9;
95;10;10;;
96;8;9;7;
97;9;8;7;
98;10;10;10;
99;10;;10;10
100;;;10;10
101;10;10;10;9
102;10;9;10;9
103;8;;9;9
104;9;9;9;9
105;;9;8;
106;10;;;
107;;;;
108;10;;10;
109;10;8;9;9
110;10;10;10;9
111;10;;;10
112;10;10;;
113;;8;9;
114;10;10;10;10
115;;;10;9
116;10;;;
117;10;10;10;
118;10;10;10;10
119;7;;;
120;9;;;
121;8;9;10;
122;10;9;10;10
123;10;10;9;10
124;10;10;;10
125;10;;;
126;10;;;
127;;;;10
128;10;10;10;10
129;10;;10;10
130;9;10;10;8
131;10;;;
132;;9;;
133;10;10;10;9
134;9;10;10;10
135;;;;
136;10;;;
137;8;8;;8
138;10;10;10;10
139;9;;;
140;;4;10;
141;9;10;10;10
142;10;8;6;8
143;10;8;10;
144;9;10;10;10
145;10;10;;
146;;;;
147;10;9;10;9
148;;;;
149;10;10;10;10
150;10;10;10;9
151;5;9;9;10
152;10;;10;
153;;;;
154;10;10;10;10
155;10;10;10;10
156;10;10;;
157;;9;9;10
158;10;10;;
159;10;10;9;
160;10;10;10;10
161;10;;;
162;10;;;
163;10;10;;9
164;8;;;8
165;;10;9;7
166;10;;10;10
167;9;9;9;9
168;10;;;
169;10;9;10;10
170;10;;;
171;10;10;10;10
172;9;9;;10
173;10;10;10;10
174;10;;;
175;9;9;9;
176;10;;;
177;9;;;
178;10;;;
179;10;;;
180;10;;10;
181;9;;;
182;;;;
183;10;;10;9
184;10;10;;
185;10;;;
186;10;10;10;10
187;;;;9
188;10;10;10;
189;10;10;10;
190;10;9;;
191;10;9;;
192;10;10;10;10
193;;;;
194;;;10;
195;10;;;
196;10;;;10
197;10;;;
198;10;;;
199;10;10;10;10
200;10;10;;
201;10;10;9;10
202;10;10;10;10
203;10;10;10;10
204;9;10;9;8
205;9;;;
206;10;10;10;10
207;10;10;10;8
208;9;;;
209;9;7;;
210;9;;;
211;10;10;10;10
212;10;9;;
213;10;;10;
214;;;;
215;10;;;
